analysis,tweet
negatif,"['antri', 'dri', 'jam', 'sekrang', 'nomer', 'tes', 'genose', 'gimana', 'ni', 'layan', 'emang', 'orang', 'cuma', 'tes', 'covid', 'doang', 'ya', 'lokasi', 'stasiun', 'kebumen']"
negatif,"['lapor', 'kalau', 'sistem', 'antri', 'periksa', 'genose', 'rapid', 'antigen', 'pagi', 'stasiun', 'kai', 'madiun', 'chaos', 'protes', 'sistem', 'eh', 'malah', 'marah', 'utama', 'antigen']"
positif,"['unit', 'genose', 'produksi', 'rektor', 'ugm', 'akan', 'inovasi']"
positif,"['selamat', 'siang', 'layan', 'genose', 'stasiun', 'bekas', 'buka', 'wib', 'antre', 'kondisional', 'trims']"
positif,"['min', 'tes', 'genose', 'stasiun', 'bekas', 'ini', 'tutup', 'jam', 'ya']"
positif,"['periode', 'pra', 'tiada', 'mudik', 'pada', 'tanggal', 'april', 'mei', 'pasca', 'tiada', 'mudik', 'tanggal', 'mei', 'wajib', 'surat', 'terang', 'hasil', 'negatif', 'pcr', 'rapid', 'test', 'antigen', 'genose']"
negatif,"['calon', 'tumpang', 'tunggu', 'hasil', 'tes', 'genose', 'stasiun', 'kutoarjo', 'bejubel', 'kerumun']"
positif,"['kaligung', 'gaperlu', 'rapid', 'or', 'genose', 'mas', 'yakin', 'dm', 'kai', 'aja']"
positif,"['selamat', 'siang', 'sesuai', 'adendum', 'surat', 'edar', 'tugas', 'tangan', 'covid', 'nomor', 'hasil', 'negatif', 'periksa', 'genose', 'laku', 'jam', 'ambil', 'sampel', 'terima', 'kasih']"
positif,"['genose', 'test', 'wajib', 'laku', 'bandara', 'atau', 'bandara', 'berangkat', 'wajib', 'laku', 'hari', 'sama', 'hari', 'berangkat', 'kami', 'informasi', 'utk', 'ini', 'fasilitas', 'genose', 'test', 'sedia', 'bandara', 'soekarno', 'hatta']"
positif,"['min', 'test', 'genose', 'tgl', 'mei', 'hari', 'laku', 'utk', 'kereta']"
positif,"['lupa', 'udh', 'genose', 'wkwk']"
positif,"['minggu', 'lalu', 'mudik', 'kereta', 'ditanyain', 'surat', 'negatif', 'covid', 'kemarin', 'pake', 'genose']"
negatif,"['ribet', 'genose']"
positif,"['jam', 'operasional', 'layan', 'genose', 'stasiun', 'jember', 'wib', 'antre', 'sifat', 'kondisional', 'trims']"
positif,"['min', 'misal', 'bal', 'tgl', 'mei', 'cgk', 'wajib', 'lampir', 'hasil', 'pcr', 'antigen', 'genose', 'boleh']"
negatif,"['hasil', 'genose', 'stasiun', 'gambir', 'langsung', 'online', 'lho', 'di', 'stasiun', 'purwokerto', 'manual', 'gimana', 'pak', 'dirut', 'masih', 'negara', 'bisa', 'beda', 'sistem']"
positif,"['genose', 'jember', 'jam']"
positif,"['bandara', 'supadio', 'layan', 'rapid', 'test', 'antigen', 'genose', 'sesuai', 'prosedur', 'kemenkes', 'ri']"
positif,"['tarif', 'layan', 'besar', 'ribu', 'calon', 'tumpang', 'syarat', 'calon', 'tumpang', 'milik', 'kode', 'booking', 'tiket', 'ka', 'jarak', 'dengan', 'status', 'bayar', 'sila', 'laku', 'periksa', 'genose']"
negatif,"['genose', 'emang', 'parah', 'ter', 'huftt', 'selalu', 'pilih', 'antigen', 'movingnya', 'cepet', 'antigen', 'kacau', 'poo']"
positif,"['halo', 'min', 'jadwal', 'genose', 'stasiun', 'lempuyangan', 'dr', 'jam', 'sampe', 'jam', 'ya']"
positif,"['wajib', 'tes', 'covid', 'tumpang', 'terminal', 'kalideres', 'tes', 'acak', 'genose']"
positif,"['lantar', 'infeksi', 'covid', 'keluar', 'napas', 'lpm', 'sinovia', 'mediasi', 'komunikasi', 'sehat']"
positif,"['volatile', 'organic', 'compound', 'voc', 'nafas', 'manusia', 'infeksi', 'covid', 'tidak', 'salah', 'anggota', 'tim', 'kembang', 'genose', 'dian', 'kesumapramudya', 'nurputra', 'alat', 'identifikasi', 'virus', 'corona', 'tidak', 'langsung', 'cara', 'deteksi', 'voc', 'bentuk']"
positif,"['sino', 'web', 'genose', 'rupa', 'alat', 'tiru', 'kerja', 'hidung', 'manusia', 'manfaat', 'sistem', 'penginderaan', 'larik', 'sensor', 'gas', 'cerdas', 'artificial', 'intelligence', 'beda', 'pola', 'senyawa', 'deteksi', 'khusus', 'genose', 'beda', 'pola', 'senyawa']"
positif,"['admin', 'hasil', 'genose', 'dr', 'ps', 'senen', 'keluar', 'jam', 'brpya', 'saya', 'udah', 'ambil', 'sampel', 'dr', 'jam', 'sampe', 'skrg', 'blm']"
positif,"['halo', 'kak', 'terbang', 'mei', 'pgk', 'cgk', 'bisa', 'melampirkn', 'hasil', 'tes', 'genose', 'antigen', 'trus', 'syarat', 'apa', 'kak', 'trims']"
positif,"['min', 'genose', 'gubeng', 'buka', 'jam', 'sampai', 'jam', 'ya']"
positif,"['tumpang', 'bus', 'akap', 'jalan', 'tes', 'genose', 'tiap', 'terminal', 'tempometro']"
negatif,"['iya', 'bener', 'bgt', 'tar', 'susah', 'ke', 'negara', 'tuju', 'apalagi', 'kl', 'indo', 'anggap', 'bahaya', 'negara', 'tuju', 'blm', 'biaya', 'karantina', 'jg', 'lumayan', 'krn', 'karantina', 'di', 'test', 'swab', 'antigen', 'genose', 'bayar']"
positif,"['udah', 'pake', 'genose', 'ajaaa']"
positif,"['periksa', 'genose', 'hadir', 'stasiun', 'langkahbaikperkuatnkri']"
negatif,"['bodoh', 'bgt', 'lupa', 'antigen', 'genose', 'pdhl', 'besok', 'kereta', 'pagi']"
positif,"['selamat', 'siang', 'layan', 'genose', 'stasiun', 'surabaya', 'gubeng', 'buka', 'wib', 'antre', 'kondisional', 'trims']"
positif,"['selamat', 'siang', 'kak', 'tumpang', 'ka', 'lokal', 'prameks', 'ini', 'wajib', 'hasil', 'negatif', 'genose', 'rapid', 'test', 'antigen', 'pcr', 'informasi', 'lengkap', 'syarat', 'tentu', 'sila', 'cek', 'link', 'trims']"
positif,"['tes', 'genose', 'st', 'gubeng', 'buka', 'jam', 'ya']"
negatif,"['kl', 'sy', 'presiden', 'mah', 'moal', 'ngalarang', 'mudik', 'mudik', 'tapi', 'mudik', 'negatif', 'tes', 'genose', 'terminal', 'posko', 'stasiun', 'murah', 'cepat', 'prokes', 'laksana', 'silaturahmi', 'jaga']"
positif,"['selamat', 'siang', 'tumpang', 'ka', 'kaligung', 'wajib', 'rapid', 'test', 'antigen', 'pcr', 'genose', 'test', 'tetap', 'wajib', 'pakai', 'masker', 'kain', 'lapis', 'medis', 'kondisi', 'sehat', 'derita', 'flu', 'pilek', 'batuk', 'hilang', 'daya', 'cium', 'diare', 'demam']"
positif,"['periksa', 'genose', 'covid', 'acak', 'tumpang', 'terminal', 'kalideres', 'laku', 'ketat', 'syarat', 'mudik', 'april', 'mei']"
positif,"['sila', 'laku', 'periksa', 'genose', 'rapid', 'test', 'antigen', 'kurun', 'maksimal', 'jam', 'berangkat', 'dengan', 'sesuai', 'jam', 'operasional', 'layan', 'trims']"
positif,"['untuk', 'tarif', 'layan', 'rapid', 'test', 'antigen', 'ribu', 'calon', 'tumpang', 'syarat', 'ingin', 'rapid', 'test', 'antigen', 'genose', 'stasiun', 'calon', 'tumpang', 'milik', 'kode', 'booking', 'tiket', 'ka', 'jarak', 'dengan', 'status', 'bayar']"
positif,"['untuk', 'layan', 'rapid', 'test', 'antigen', 'stasiun', 'gambir', 'operasi', 'wib', 'ambil', 'nomor', 'antre', 'pukul', 'wib', 'kondisional', 'tarif', 'layan', 'genose', 'ribu', 'calon', 'tumpang']"
positif,"['saat', 'tumpang', 'ka', 'lokal', 'wajib', 'hasil', 'negatif', 'genose', 'rapid', 'test', 'antigen', 'pcr', 'informasi', 'lengkap', 'syarat', 'tentu', 'sila', 'cek', 'link', 'trims']"
positif,"['selamat', 'siang', 'kak', 'layan', 'genose', 'stasiun', 'pasar', 'senen', 'operasi', 'wib', 'untuk', 'layan', 'genose', 'stasiun', 'gambir', 'operasi', 'wib', 'antre', 'dua', 'stasiun', 'buka', 'pukul', 'wib', 'kondisional']"
positif,"['selamat', 'siang', 'anak', 'usia', 'wajib', 'surat', 'terang', 'hasil', 'negatif', 'tes', 'pcr', 'rapid', 'test', 'antigen', 'tes', 'genose', 'sampel', 'ambil', 'kurun', 'maksimal', 'jam', 'berangkat', 'syarat', 'ka', 'jarak', 'trims']"
positif,"['layan', 'genose', 'st', 'pasar', 'senen', 'operasi', 'wib', 'antri', 'kondisional', 'posisi', 'di', 'pintu', 'samping', 'musala', 'trims']"
negatif,"['nyobain', 'genose', 'pertama', 'kali', 'ngeri', 'sedep', 'euy']"
positif,"['selamat', 'siang', 'ini', 'calon', 'tumpang', 'ka', 'natar', 'dhoho', 'wajib', 'lampir', 'surat', 'terang', 'genose', 'pcr', 'rapid', 'test', 'antigen', 'info', 'lengkap', 'syarat', 'sila', 'cek', 'link', 'trims']"
positif,"['alam', 'kmrn', 'pp', 'gambir', 'purwokerto', 'laku', 'tes', 'genose', 'sblm', 'kbrangkatan', 'spy', 'ngga', 'buru', 'perlu', 'wkt', 'mnt', 'dr', 'daftar', 'smp', 'hasil', 'terima']"
positif,"['dear', 'anak', 'tahun', 'harus', 'laku', 'tes', 'genose', 'antigen']"
positif,"['selamat', 'siang', 'kece', 'hasil', 'genose', 'laku', 'menu', 'tes', 'covid', 'sedia', 'aplikasi', 'kai', 'access', 'dapat', 'scan', 'qr', 'code', 'sudah', 'oleh', 'tugas']"
positif,"['selamat', 'siang', 'layan', 'genose', 'stasiun', 'yogyakarta', 'operasi', 'hari', 'wib', 'antre', 'kondisional', 'posisi', 'ruang', 'tunggu', 'stasiun', 'belah', 'selatan', 'trims']"
positif,"['labuh', 'merak', 'tumpang', 'antre', 'tes', 'genose']"
positif,"['selamat', 'siang', 'min', 'mohon', 'maaf', 'minta', 'share', 'informasi', 'jam', 'operasional', 'test', 'genose', 'rapid', 'pcr', 'stasiun', 'gambir', 'stasiun', 'senen', 'terimakasih']"
negatif,"['sanggup', 'kalau', 'indo', 'kayak', 'india', 'sampai', 'corona', 'wakk', 'ada', 'alas', 'perintah', 'nyuruh', 'swab', 'antigen', 'genose', 'nantik']"
positif,"['min', 'ka', 'lokal', 'penataraan', 'dhoho', 'kepanjen', 'sembung', 'pake', 'tes', 'genose', 'tidak']"
positif,"['genose', 'kurun', 'maksimal', 'jam', 'berangkat', 'dengan', 'sesuai', 'jam', 'operasional', 'layan', 'trims']"
positif,"['selamat', 'siang', 'sudah', 'milik', 'kode', 'booking', 'tiket', 'ka', 'jarak', 'dengan', 'status', 'bayar', 'dapat', 'laku', 'periksa', 'genose', 'stasiun', 'mojokerto', 'jam', 'operasional', 'wib', 'antre', 'sifat', 'kondisional']"
positif,"['siang', 'min', 'nanya', 'min', 'jadwal', 'genose', 'stasiun', 'tugu', 'minggu', 'buka', 'sampe', 'jam', 'brp', 'min']"
positif,"['selamat', 'siang', 'ingin', 'laku', 'jalan', 'st', 'gubeng', 'sby', 'st', 'bandung', 'genose', 'bisa', 'laku', 'st', 'mojokerto', 'hari', 'sama', 'berangkat', 'terimakasih', 'sehat', 'admin']"
positif,"['calon', 'tumpang', 'kereta', 'api', 'jarak', 'di', 'stasiun', 'pasar', 'senen', 'jakarta', 'pusat', 'padat', 'antri', 'tes', 'genose', 'rapid', 'test', 'antigen', 'laku', 'jalan', 'kereta', 'api', 'asb', 'salingjagadantetaptidakmudik']"
